"name","roaster","roaster_country","roast","rating","review"
"Kenya Peaberry Kericho County","Caffe Luxxe","United States","Medium-Light",92,"Sweetly pungent, lightly savory. Unusual aromatics: floral-toned honey, plum, musk, a hint of coriander in aroma and cup. Crisply sweet, savory-edged structure; lightly syrupy mouthfeel. Dry and gently flavor-saturated in the finish. An unorthodox but original and engaging variation on the Kenya cup, juxtaposing sweetness and a musky, herby-savory edge."
"Static El Salvador Finca Maria Luisa","Espresso Republic","United States","Medium-Light",89,"Brisk and subtly layered. Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup. Sweetly brisk and dry in structure; lightly syrupy mouthfeel. The drying structure sweetens and smoothes a bit in the finish, and chocolate and clover-like flowers move forward. Those who value brisk, dry beverages should enjoy this coffee and its quiet, unorthodox aromatic intrigue."
"Kamwangi Kenya","Lexington Coffee Roasters","United States","Medium-Light",93,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish. Resonantly pungent Kenya, particularly attractive for its structure: sweet, tart and savory all at once, zesty yet seductive. Holds its character superbly as it cools."
"Ethiopia Gelana Abaya","Big Creek Coffee Roasters","United States","Medium-Light",92,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish. Spicy-sweet, autumnal profile, complex and grown-up."
"Ethiopia Bishan Fugu","Noble Coffee Roasting","United States","Light",93,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the short and cocoa butter in the long. A richly elegant cup that leads with deep fruit notes, as do many natural- processed coffees, though here the fruit is complicated by an engaging musk-like intrigue."
"Sustainable Harvest Homacho Waeno Natural","Red E Café","United States","Light",93,"Deeply and richly sweet-savory. Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup. Bright, sweetly-tart in structure with zesty acidity; delicately satiny mouthfeel. Notes of richly savory pipe tobacco lead in the finish, paired with dried fig in the short and orange marmalade in the long. A natural-processed Ethiopia coffee of intriguing depth, with a wide range of aroma/flavor notes, savory pipe tobacco to high-toned, spicy florals, to crisply sweet citrus marmalade."
"Ethiopia Amaro Gayo Natural","Ben's Beans","United States","Medium-Light",92,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, with notes of dried fruit, nuts and warming spices.  The overall impression of this natural-processed Yirgacheffe cup is equal parts dried fruit and chocolate, nicely elaborated by spice suggestions (cinnamon, clove, nutmeg)."
"Static Colombia Decaf Midnight","Espresso Republic","United States","Medium",89,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long.  A solid, chocolate-toned decaf with inviting fruit and floral tones."
"Diima #9 Ethiopia Natural","Roast House","United States","Medium-Light",93,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate.  This natural-processed Yirgacheffe’s hint of sweet, rum-like fruit ferment gives the cup a distinct holiday feel."
"Sweet Holiday Blend","Red Rooster Coffee Roaster","United States","Medium-Light",93,"Richly sweet, spice-toned. Baker’s chocolate, tangerine zest, clove, date, sandalwood in aroma and cup. High-toned, sweetly tart in structure; plush and syrupy in mouthfeel. The finish centers around cocoa-toned clove notes and deeply sweet fruit in the short, aromatic sandalwood in the long. A brightly juicy, sweet blend with richly layered holiday nuance: chocolate, clove, date."
"DR Congo Virunga Organic","Speckled Ax","United States","Medium-Light",93,"Deeply sweet-savory, uniquely pungent. Ripe tomato, pink peppercorn, lantana-like flowers, blood orange zest, fresh pipe tobacco in aroma and cup. Savory-leaning, richly sweet in structure; plush and syrupy in mouthfeel. The finish is equal parts sweet and savory. Notes of citrus zest and lantana linger in the short and rich pipe tobacco in the long, while ripe tomato resonates throughout. An exciting coffee from a newly emerging eastern Congo growing region: savory-edged, richly sweet, invitingly pungent."
"Holiday Blend","Fumi Coffee","Taiwan","Light",93,"Crisply sweet-tart, high-toned. Lemon verbena, cedar, pomegranate, lavender, maple syrup in aroma and cup. Sweetly tart in structure with bright, juicy acidity. The finish is deep and rich, with sweet, lemony herb tones, tart fruit notes, and hints of aromatic wood. A lovely blend of four exceptional coffees that nets a crisp, very sweet, pleasingly herb-toned cup."
"Kenya Thaitu","Good Folks Coffee","United States","Medium-Light",95,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry and citrus zest in the short, rounding to chocolate in the long, with spicy florals throughout. A spice-toned, floral- and fruit-driven Kenya coffee, grounded by rich chocolate notes with hints of sweet pipe tobacco."
"Yule Blend 2018","Flight Coffee Co.","United States","Medium-Light",94,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long. A balanced, savory-leaning and richly sweet blend of two quality coffees from Kenya, netting a vibrantly high-toned, spice-driven cup."
"Los Congos Pacamara Honey","Dragonfly Coffee Roasters","United States","Light",93,"Sweetly pungent, richly savory-toned. Blackberry jam, roasted cacao nib, rhododendron, sundried tomato, nougat in aroma and cup. Sweet-savory structure with crisp, floral acidity; viscous, lightly syrupy mouthfeel. The finish is sweet-toned and balanced, with lingering notes of berry and cocoa. An umami-driven Pacamara coffee, with a throughline of berry and sundried tomato notes: sweet and savory in harmonious balance."
"Coffea Diversa Costa Rica Sudan Rume","OQ Coffee Co.","United States","Medium-Light",93,"Bright, crisp, deeply sweet. Honey, lilac, cedar, tea rose, mango in aroma and cup. Crisply sweet-tart structure; satiny-smooth body. Notes of mango and spice-toned florals carry the short finish, while honey lingers in the long. A fine introduction to a rare variety of Arabica, Sudan Rume: crisp, bright, sweetly tart."
"Ethiopia Banko Gotiti Natural G1","Green Stone Coffee","Taiwan","Light",94,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate in the long. An inviting natural-processed coffee from Ethiopia: sweetly tart, fruit-forward."
"Panama Auromar Geisha Natural","Willoughby's Coffee & Tea","United States","Medium-Light",96,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals in the short and deep fruit notes in the long, where a new element, a soft fruit tone suggesting coconut, surfaces. A dynamic coffee with complex aromatics that invoke the tropics—and a seemingly infinite finish, richly sweet and flavor-saturated."
"El Salvador Finca Kilimanjaro","Bird Rock Coffee Roasters","United States","Medium-Light",95,"High-toned, richly sweet. Strawberry guava, roasted cacao nib, lime zest, jasmine, almond in aroma and cup. Sweetly-tart structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish is long and resonant, with lime zest and strawberry guava in the short, rounding to cocoa-toned jasmine in the deeply sweet long. A graceful, generously fruit- and floral-toned El Salvador cup with an exceptionally balanced structure and juicy acidity."
"Panama Elida Green Tip Gesha Natural","Equator Coffees & Teas","United States","Medium-Light",94,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure; full, satiny mouthfeel. The resonant, flavor-saturated finish is characterized by notes of rich chocolate with berry and bittersweet citrus complications. An elegant, richly sweet natural-processed Panama Gesha with berry and chocolate notes throughout."
"Gikanda Kenya","JBC Coffee Roasters","United States","Medium-Light",96,"Sweetly bright, spicy and savory-edged. Orange zest, black currant, baker’s chocolate, tamarind, floral-toned vanilla, redwood in aroma and cup. Deeply bright and richly savory in structure; syrupy, lively mouthfeel. Very deep, very lasting finish, saturated with flavor: chocolate, black currant, vanilla.  Superb version of the classic sweet-savory, crisply juicy, fragrantly floral-edged Kenya cup."
"Panama Don Julian Pacamara","Willoughby's Coffee & Tea","United States","Medium-Light",95,"Richly sweet/tart, crisply complex. Dark chocolate, roasted cashew, pink grapefruit, sandalwood, Chinese five-spice in aroma and cup. Structure is drying but sweetly juicy; buoyant and plump in mouthfeel. Nut-toned chocolate with a hint of sandalwood and spice saturate a sweet, richly dry finish.  Superb Pacamara profile, crisply dry and spicy yet deeply, lavishly juicy sweet."
"100% Kona Bourbon Pointu Laurina","Hula Daddy Kona Coffee","Hawai'i","Medium-Light",95,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish. Intense, bright but balanced cup with layered aromatic intrigue generated by a celebrated and rare tree variety."
"Kenya AB Muchoki","Klatch Coffee","United States","Medium-Light",95,"Crisply and sweetly tart, delicate yet confident. Peach, vanilla bean, grapefruit zest, almond, pink peppercorn in aroma and cup. Poised in structure: sweet, tart, savory. Mouthfeel is cushiony, plush. Flavor saturates a savory-edged, drying finish. The exciting Kenya tension between sweet and savory-tart is on display here, but a bit softer in expression perhaps, more tropical, than usual. A relaxed Kenya, authoritative yet delicate and approachable."
"Colombia Nariño Duende","Paradise Roasters","United States","Medium-Light",93,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure; velvety-smooth mouthfeel. The finish is richly chocolate-toned with a hint of cinnamon. Low-toned and deeply rich, reminiscent of Ibarra Mexican chocolate with cinnamon, enveloped in fruit and nut tones."
"Geisha Panama Santamaria Natural","Campos Coffee","Australia","Medium-Light",95,"Crisply sweet, intricate, delicately rich. Jasmine, tangerine zest, sandalwood, sweet ripe banana, roasted cacao nib in aroma and cup. Balanced, roundly and gracefully sweet/tart in structure. Light-footed and plush in mouthfeel. Flavor consolidates around jasmine, sandalwood and banana in a sweet, lasting finish. Both elegantly balanced and subtly grand in detail; a quietly spectacular rendition of the Gesha profile."
"Estate Medium Roast","Ka'u Specialty Coffee","Hawai'i","Medium-Light",93,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel; flavor saturates a deep, richly floral and chocolate-toned finish. A coffee both classic in its crisp clarity and subtly original in its high-toned fruit and floral aromatics."
"Ethiopia Holy Grail Natural Yirgacheffe","Simon Hsieh’s Aroma Roast Coffees","Taiwan","Medium",93,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel; nut-toned, richly tannic finish. In cappuccino-scaled milk, invitingly bittersweet, with notes of dark chocolate and jasmine in harmony. In the straight shot, dark chocolate and tart fruit reign; in milk, spicy floral notes wrapped in chocolate carry the day."
"Kenya Karinga","Amavida Coffee Roasters","United States","Medium-Light",92,"Sweetly tart, intense but balanced. Orange zest, red currant, tea rose, white sage, roasted cashew in aroma and cup. Brisk and savory-edged but sweet in structure; impressively buoyant, almost effervescent mouthfeel. Flavor fades to hints of sage and cashew in a sweet though drying finish.   An intense yet accessible Kenya animated by a zesty but very sweet structure and an intriguing range of aromatics."
"Thailand Doi Pangkhon Espresso","Paradise Roasters","United States","Medium",91,"Evaluated as espresso. Sweetly bright, tartly juicy. Grapefruit zest, mango, chocolate, fresh-cut fir in aroma and small cup. Very lightly syrupy and lively in mouthfeel. Rounds in the finish and the chocolate comes forward. In three parts milk a dry, orangy chocolate dominates, crisply and pleasingly.   A bright, vivid espresso: Tart citrus in front, enveloped by a softening chocolate."
"Ulos Batak Sumatra","JBC Coffee Roasters","United States","Medium-Light",96,"Intensely rich, deeply sweet, complex. Chocolate fudge, lavender, grapefruit zest, moist perique-style tobacco, coconut-covered date in aroma and cup. Balanced, sweetly savory in structure with lively acidity; buoyant, syrupy mouthfeel. The flavor-laden finish offers chocolate-toned spicy florals in the short resolving to rich date notes with undertones of perique tobacco in the long. An intricately layered, superb Sumatra cup saturated with chocolate, spicy floral and sweet fruit notes, with gentle intimations of rich perique tobacco."
"Gaitania Colombia","JBC Coffee Roasters","United States","Light",91,"Crisply sweet, high-toned. Maple syrup, narcissus, ripe orange, hazelnut, a hint of cardamom in aroma and cup. Gently sweet-tart structure; velvety mouthfeel. The short finish leads with attractive bittersweet orange tones; narcissus and cardamom carry the long. An inviting and accessible Colombia cup, sweet-toned with a hint of cardamom-like spice."
"Blue Label La Esmeralda Porton Pascua Gesha","PT's Coffee Roasting","United States","Medium-Light",95,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure; crisp, satiny mouthfeel. The quietly resonant finish is flavor-saturated: stonefruit and bergamot carry the short and sandalwood-nuanced lilac notes resurface in the long. A symphonic Gesha cup: high-toned fruit and flowers are supported by spice and aromatic wood."
"Auromar Gesha Natural","PT's Coffee Roasting","United States","Light",93,"Delicate, crisply sweet. Dried coconut, baker’s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure; silky mouthfeel. The gently drying finish is carried by notes of chocolate-toned coconut in the short and cedar in the long, with a whisper of sweet candied violet. A crisp, deeply sweet natural-processed Gesha cup: chocolaty, fruit-toned and floral."
"Haraz Special Red Yemen","PT's Coffee Roasting","United States","Light",92,"Engaging, richly sweet-savory. Caramelized fig, earthy pipe tobacco, aged rum, hibiscus, cinnamon in aroma and cup. Sweetly tart structure; velvety-smooth mouthfeel. The long finish consolidates to cinnamon and caramelized fig, with a hint of aged rum. An attractively idiosyncratic cup from one of coffee’s ancient homelands: mildly fermenty, richly fruity-toned, with hints of earth and tobacco."
"“Naturals”","Hala Tree Kona Coffee","Hawai'i","Medium-Light",92,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet florals and aromatic wood notes in the long. A fruit-driven, but crisp natural-processed Kona cup that’s also certified organic."
"Finca Merced Guatemala","Chocolate Fish Coffee Roasters","United States","Light",93,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long.  A sweetly bright, cocoa-toned Guatemala cup with engaging stone fruit and aromatic wood complications."
"El Peñon Nicaragua","Barrington Coffee Roasting","United States","Light",94,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity; crisp, velvety mouthfeel. The deep, resonant finish is flavor-laden, fulfilling the promise of the cup with spicy floral notes in the short and cocoa-toned fruit in the long. Coffee Review’s highest scoring Nicaragua coffee of 2017: crystalline in structure, intensely aromatic, deeply and richly sweet."
"Kenya Chorongi Peaberry","Speckled Ax","United States","Medium-Light",95,"Intense, dynamic, richly sweet-savory. Passionfruit jam, baker’s chocolate, aromatic orchid, sandalwood, almond in aroma and cup. Bright, sweetly tart in structure; full, velvety mouthfeel. The resonant finish is crisply sweet, with layers of complex fruit and floral notes in the short, consolidating to baker’s chocolate and almond in the long.  A classic Kenya cup: richly sweet-savory, with a complex array of fruit, floral, chocolate and aromatic wood notes at its intense and inviting heart."
